Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,N,P,K,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Phosphorous,Fertilizer Name,PH,Carbon,Soil,Remark
,,,,,,,,,,,,,,,Satara,Black,130.0,70.0,125.0,7.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,135.0,70.0,125.0,7.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,140.0,70.0,125.0,7.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,145.0,70.0,125.0,7.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,150.0,70.0,125.0,7.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,120.0,75.0,130.0,6.0,1000.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,125.0,75.0,130.0,6.0,1000.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,130.0,75.0,130.0,6.0,1000.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,135.0,75.0,130.0,6.0,1000.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,140.0,75.0,130.0,6.0,1000.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,145.0,75.0,130.0,6.0,1000.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,150.0,75.0,130.0,6.0,1000.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,120.0,80.0,135.0,6.5,900.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,125.0,80.0,135.0,6.5,900.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,130.0,80.0,135.0,6.5,900.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,135.0,80.0,135.0,6.5,900.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,140.0,80.0,135.0,6.5,900.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,145.0,80.0,135.0,6.5,900.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,150.0,80.0,135.0,6.5,900.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,120.0,85.0,140.0,7.0,1000.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,125.0,85.0,140.0,7.0,1000.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,130.0,85.0,140.0,7.0,1000.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,135.0,85.0,140.0,7.0,1000.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,140.0,85.0,140.0,7.0,1000.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,145.0,85.0,140.0,7.0,1000.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,150.0,85.0,140.0,7.0,1000.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,120.0,90.0,145.0,6.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,125.0,90.0,145.0,6.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,130.0,90.0,145.0,6.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,135.0,90.0,145.0,6.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,140.0,90.0,145.0,6.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,145.0,90.0,145.0,6.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,150.0,90.0,145.0,6.0,900.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,40.0,60.0,5.5,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,40.0,60.0,5.5,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,40.0,60.0,5.5,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,40.0,60.0,5.5,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,40.0,60.0,5.5,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,45.0,65.0,6.0,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,45.0,65.0,6.0,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,45.0,65.0,6.0,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,45.0,65.0,6.0,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,45.0,65.0,6.0,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,50.0,70.0,6.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,50.0,70.0,6.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,50.0,70.0,6.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,50.0,70.0,6.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,50.0,70.0,6.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,55.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,55.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,55.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,55.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,55.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,60.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,60.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,60.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,60.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,60.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,40.0,65.0,6.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,40.0,65.0,6.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,40.0,65.0,6.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,40.0,65.0,6.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,40.0,65.0,6.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,45.0,70.0,5.5,900.0,30.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,45.0,70.0,5.5,900.0,30.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,45.0,70.0,5.5,900.0,30.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,45.0,70.0,5.5,900.0,30.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,45.0,70.0,5.5,900.0,30.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,50.0,75.0,6.0,1000.0,35.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,50.0,75.0,6.0,1000.0,35.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,50.0,75.0,6.0,1000.0,35.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,50.0,75.0,6.0,1000.0,35.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,50.0,75.0,6.0,1000.0,35.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,55.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,55.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,55.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,55.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,55.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,60.0,60.0,5.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,60.0,60.0,5.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,60.0,60.0,5.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,60.0,60.0,5.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,60.0,60.0,5.5,1000.0,25.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,40.0,70.0,6.0,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,40.0,70.0,6.0,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,40.0,70.0,6.0,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,40.0,70.0,6.0,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,40.0,70.0,6.0,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,45.0,75.0,6.5,1000.0,35.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,45.0,75.0,6.5,1000.0,35.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,45.0,75.0,6.5,1000.0,35.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,45.0,75.0,6.5,1000.0,35.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,45.0,75.0,6.5,1000.0,35.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,50.0,80.0,5.5,900.0,20.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,50.0,80.0,5.5,900.0,20.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,50.0,80.0,5.5,900.0,20.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,50.0,80.0,5.5,900.0,20.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,50.0,80.0,5.5,900.0,20.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,55.0,60.0,6.0,1000.0,25.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,55.0,60.0,6.0,1000.0,25.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,55.0,60.0,6.0,1000.0,25.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,55.0,60.0,6.0,1000.0,25.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,55.0,60.0,6.0,1000.0,25.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,60.0,65.0,6.5,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,60.0,65.0,6.5,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,60.0,65.0,6.5,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,60.0,65.0,6.5,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,60.0,65.0,6.5,900.0,30.0,Ginger,DAP,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,40.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,40.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,40.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,40.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,40.0,75.0,5.5,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,45.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,45.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,45.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,45.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,45.0,80.0,6.0,900.0,20.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,50.0,60.0,6.5,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,50.0,60.0,6.5,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,50.0,60.0,6.5,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,50.0,60.0,6.5,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,50.0,60.0,6.5,1000.0,25.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,55.0,65.0,5.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,55.0,65.0,5.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,55.0,65.0,5.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,55.0,65.0,5.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,55.0,65.0,5.5,900.0,30.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,60.0,70.0,6.0,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,60.0,70.0,6.0,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,60.0,70.0,6.0,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,55.0,60.0,70.0,6.0,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,60.0,60.0,70.0,6.0,1000.0,35.0,Ginger,Urea,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,40.0,40.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,45.0,40.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Satara,Black,50.0,40.0,80.0,6.5,900.0,20.0,Ginger,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI,,,,,,,,,,,,,,,,,,,,,,,
