Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing
Tomato,Tamil Nadu,Silty,7.6,96.1,48.0,128.2,1.73,31.7,1023.6,20.2,12,Urea,141.12,Mid growth
Maize,Gujarat,Loamy,7.5,83.2,46.7,149.4,0.94,21.3,1012.3,23.8,11,Urea,151.44,After sowing
Tomato,Kerala,Silty,7.7,88.2,23.8,148.5,1.51,40.4,659.5,30.1,13,Urea,147.44,Before sowing
Soybean,Kerala,Clay,7.0,128.3,40.5,120.3,1.14,23.3,1014.9,23.4,7,Mixed,100.36,Before sowing
Maize,Maharashtra,Peaty,7.2,98.7,38.8,132.3,0.83,16.8,504.8,29.1,10,Urea,139.04,Mid growth
Sugarcane,Karnataka,Peaty,7.6,83.6,42.0,103.9,1.22,42.9,665.6,27.0,14,Urea,151.12,After sowing
Tomato,Karnataka,Silty,5.5,86.5,27.8,81.9,1.45,27.8,838.5,22.6,7,Urea,148.8,Before sowing
Maize,Kerala,Sandy,6.2,133.1,49.0,83.5,1.84,32.3,851.1,27.5,11,Potash,96.52,After sowing
Millet,Kerala,Silty,5.7,87.2,38.0,103.9,1.88,27.2,514.6,30.7,16,Urea,148.24,Pre-harvest
Millet,Gujarat,Loamy,6.2,122.0,40.9,143.0,1.69,35.3,943.7,34.2,10,Compost,105.4,Mid growth
Potato,Gujarat,Loamy,6.2,80.1,28.2,95.3,1.49,34.0,874.8,20.2,8,Urea,153.92,Before sowing
Soybean,Gujarat,Sandy,7.3,105.9,40.0,119.0,1.01,19.0,475.5,32.5,14,Mixed,118.28,Pre-harvest
Millet,Andhra Pradesh,Loamy,7.8,132.0,23.1,108.1,1.59,38.4,494.6,20.0,7,DAP,112.4,After sowing
Sugarcane,Madhya Pradesh,Loamy,7.3,108.5,27.6,80.9,1.31,40.5,1166.1,28.5,10,DAP,131.2,Before sowing
Wheat,Gujarat,Silty,6.8,86.8,36.5,106.6,1.41,26.7,592.2,21.4,7,Urea,148.56,Before sowing
Maize,Telangana,Clay,6.3,87.7,25.3,149.1,1.17,31.0,1098.9,34.9,4,Urea,147.84,After sowing
Potato,Andhra Pradesh,Peaty,7.0,145.0,29.8,101.4,1.1,35.2,945.8,24.7,11,DAP,102.0,After sowing
Groundnut,Telangana,Peaty,5.8,130.6,23.8,120.5,1.54,36.0,1002.8,33.1,10,DAP,113.52,Pre-harvest
Potato,Maharashtra,Peaty,6.7,138.4,38.6,93.1,0.54,23.5,754.4,29.3,8,Potash,92.28,Mid growth
Tomato,Karnataka,Sandy,7.6,95.7,23.8,147.4,0.66,29.4,868.5,28.1,15,Urea,141.44,Pre-harvest
Sugarcane,Kerala,Clay,5.7,84.6,23.2,121.0,1.32,22.0,910.2,32.3,11,Urea,150.32,Mid growth
Soybean,Madhya Pradesh,Peaty,5.6,119.9,40.7,97.7,0.96,33.4,1118.3,32.1,10,Potash,107.08,Mid growth
Millet,Karnataka,Sandy,7.0,138.4,30.9,124.9,1.2,20.7,961.4,28.3,4,Mixed,92.28,Mid growth
Potato,Kerala,Silty,6.4,152.9,20.6,102.1,0.59,38.0,961.7,25.0,11,DAP,95.68,Pre-harvest
Soybean,Kerala,Loamy,7.2,111.7,42.7,111.8,1.12,43.0,600.7,21.8,16,Mixed,113.64,Pre-harvest
Soybean,Madhya Pradesh,Peaty,7.0,157.5,31.3,84.3,1.01,30.2,529.5,29.9,13,Potash,77.0,Mid growth
Rice,Tamil Nadu,Sandy,8.0,116.1,30.6,108.0,0.67,41.5,731.9,25.8,10,Mixed,110.12,Pre-harvest
Potato,Maharashtra,Silty,7.1,115.4,39.4,84.3,1.72,43.2,919.0,34.3,11,Potash,110.68,Before sowing
Groundnut,Tamil Nadu,Loamy,5.9,118.2,38.1,120.7,1.1,25.1,501.5,25.9,7,Mixed,108.44,After sowing
Maize,Telangana,Clay,5.9,138.7,26.3,84.1,1.33,32.9,1097.5,28.7,15,DAP,107.04,Before sowing
Sugarcane,Karnataka,Peaty,6.4,144.2,36.2,85.5,1.35,42.2,717.1,24.4,11,Potash,87.64,Before sowing
Maize,Gujarat,Peaty,5.9,92.1,33.0,121.7,0.62,43.2,1004.1,28.8,12,Urea,144.32,After sowing
Potato,Gujarat,Peaty,7.6,86.4,34.3,124.1,1.74,38.5,621.7,34.1,4,Urea,148.88,Mid growth
Soybean,Kerala,Sandy,5.8,150.0,49.1,92.4,1.58,16.2,724.3,27.7,6,Potash,83.0,Mid growth
Tomato,Gujarat,Clay,7.0,154.9,40.2,113.7,1.71,43.5,417.7,34.7,9,Compost,79.08,Pre-harvest
Potato,Telangana,Clay,5.7,145.2,28.4,89.3,1.16,34.3,704.8,20.8,8,DAP,101.84,Mid growth
Potato,Tamil Nadu,Loamy,7.0,152.2,31.5,95.1,1.16,16.5,1056.4,32.4,16,Potash,81.24,Before sowing
Tomato,Gujarat,Silty,7.0,108.2,44.0,118.8,1.74,33.9,1027.5,29.0,10,Compost,116.44,Before sowing
Potato,Tamil Nadu,Peaty,6.5,156.6,36.2,122.4,0.83,33.8,857.3,22.8,14,Mixed,77.72,After sowing
Maize,Karnataka,Peaty,5.6,128.3,42.9,116.6,0.84,35.0,464.1,26.6,8,Mixed,100.36,Pre-harvest
Millet,Telangana,Loamy,5.9,94.8,26.1,107.1,0.58,26.9,809.4,27.2,10,Urea,142.16,After sowing
Potato,Kerala,Clay,6.5,147.1,24.4,115.4,0.59,17.1,859.1,28.5,10,DAP,100.32,Pre-harvest
Groundnut,Maharashtra,Clay,7.7,124.6,48.8,83.4,0.65,16.3,548.2,28.1,8,Potash,103.32,Mid growth
Potato,Tamil Nadu,Clay,7.1,83.6,48.4,139.0,0.94,17.3,535.9,21.9,8,Urea,151.12,Before sowing
Sugarcane,Kerala,Loamy,5.8,121.5,27.4,105.1,1.98,35.5,1159.2,22.1,9,DAP,120.8,Before sowing
Soybean,Maharashtra,Loamy,6.5,124.4,22.3,80.3,1.51,34.3,728.6,27.3,15,DAP,118.48,Pre-harvest
Wheat,Tamil Nadu,Silty,6.5,81.9,30.1,92.4,0.65,43.7,879.5,30.9,5,Urea,152.48,Before sowing
Rice,Telangana,Peaty,6.3,111.5,27.1,86.8,0.77,38.9,942.0,28.2,4,DAP,128.8,Mid growth
Cotton,Andhra Pradesh,Clay,6.7,153.8,22.2,99.6,1.02,38.5,1194.0,23.6,14,DAP,94.96,Pre-harvest
Rice,Maharashtra,Peaty,7.7,146.4,26.7,108.0,1.11,44.3,544.7,32.0,6,DAP,100.88,Mid growth
Groundnut,Maharashtra,Peaty,6.3,138.5,32.6,120.5,1.75,39.1,1093.1,20.9,13,Compost,92.2,Pre-harvest
Soybean,Andhra Pradesh,Silty,7.2,91.2,32.5,118.4,1.1,30.6,1197.2,22.0,15,Urea,145.04,After sowing
Wheat,Kerala,Silty,7.2,111.7,24.0,91.1,1.92,41.4,1125.6,34.9,4,DAP,128.64,Pre-harvest
Millet,Kerala,Clay,6.0,108.4,40.1,113.9,1.13,25.7,875.0,28.6,14,Mixed,116.28,Before sowing
Soybean,Karnataka,Sandy,5.9,117.7,36.6,119.9,0.82,37.3,420.2,25.3,7,Mixed,108.84,Mid growth
Potato,Maharashtra,Peaty,7.5,125.1,27.8,128.6,1.35,38.9,988.0,29.2,11,DAP,117.92,Mid growth
Maize,Andhra Pradesh,Sandy,6.7,90.7,27.8,109.3,1.4,30.4,630.5,20.1,14,Urea,145.44,Mid growth
Potato,Karnataka,Silty,6.7,102.9,42.0,81.7,1.38,43.2,539.5,27.1,6,Potash,120.68,Before sowing
Tomato,Telangana,Loamy,5.7,130.1,36.5,108.5,1.28,41.9,557.0,20.3,9,Mixed,98.92,Mid growth
Wheat,Tamil Nadu,Peaty,7.7,126.2,46.7,121.8,1.72,27.9,999.9,33.7,8,Compost,102.04,After sowing
Wheat,Madhya Pradesh,Silty,6.9,94.5,28.1,93.9,0.87,24.2,844.1,28.8,12,Urea,142.4,Pre-harvest
Rice,Madhya Pradesh,Silty,6.6,129.2,22.4,86.1,0.76,30.5,571.2,24.2,15,DAP,114.64,After sowing
Wheat,Madhya Pradesh,Silty,6.5,144.9,20.4,125.5,1.5,39.0,1146.2,20.3,10,DAP,102.08,Before sowing
Soybean,Karnataka,Silty,5.9,150.9,33.8,119.5,1.49,35.4,1145.4,35.0,14,Mixed,82.28,Pre-harvest
Maize,Tamil Nadu,Peaty,7.3,103.0,46.4,83.4,0.85,41.9,605.0,23.3,15,Potash,120.6,After sowing
Millet,Kerala,Loamy,5.8,148.7,35.0,127.2,0.86,37.7,1008.0,24.7,10,Mixed,84.04,Before sowing
Potato,Andhra Pradesh,Clay,6.5,96.8,49.3,125.2,1.9,24.1,1025.5,31.5,6,Urea,140.56,After sowing
Wheat,Karnataka,Loamy,7.2,157.3,31.8,89.2,1.51,36.9,860.0,23.1,16,Potash,77.16,Mid growth
Maize,Kerala,Sandy,6.8,105.0,32.8,125.2,1.62,22.0,724.3,24.0,6,Compost,119.0,Before sowing
Potato,Gujarat,Sandy,6.0,142.7,47.3,105.9,1.63,41.9,1076.9,22.7,14,Compost,88.84,Before sowing
Millet,Madhya Pradesh,Clay,7.9,110.1,30.2,84.4,1.23,18.3,598.8,24.8,6,Potash,114.92,Pre-harvest
Rice,Tamil Nadu,Silty,7.5,150.0,29.1,140.1,1.79,37.9,517.4,30.4,11,DAP,98.0,Pre-harvest
Potato,Maharashtra,Clay,7.9,134.6,29.9,115.0,1.47,30.3,496.0,24.7,14,DAP,110.32,Before sowing
Maize,Tamil Nadu,Peaty,7.5,148.9,24.1,146.7,0.99,34.9,1001.5,32.2,11,DAP,98.88,Before sowing
Soybean,Madhya Pradesh,Clay,7.9,105.0,45.8,89.2,1.56,37.3,942.2,23.8,6,Potash,119.0,Mid growth
Millet,Maharashtra,Clay,7.7,93.5,21.6,130.2,1.21,40.5,706.7,22.5,8,Urea,143.2,Pre-harvest
Sugarcane,Tamil Nadu,Clay,7.6,123.9,25.7,130.4,1.27,33.1,768.7,32.4,9,DAP,118.88,Mid growth
Maize,Kerala,Clay,7.6,136.8,23.2,138.7,1.51,35.9,690.4,33.2,12,DAP,108.56,Before sowing
Wheat,Karnataka,Clay,7.3,89.0,32.2,142.0,0.57,43.8,943.3,29.5,7,Urea,146.8,After sowing
Potato,Gujarat,Peaty,6.2,99.9,48.3,100.9,1.66,26.8,511.4,20.2,9,Urea,138.08,Before sowing
Wheat,Kerala,Loamy,6.9,158.1,31.1,105.0,1.02,30.6,752.5,33.2,9,Mixed,76.52,Pre-harvest
Millet,Maharashtra,Silty,6.8,120.6,24.2,148.8,0.87,17.2,930.5,28.9,8,DAP,121.52,Before sowing
Groundnut,Andhra Pradesh,Clay,6.5,113.8,43.6,93.7,1.73,34.5,735.2,26.9,9,Potash,111.96,After sowing
Maize,Kerala,Peaty,6.1,140.2,35.4,102.5,1.39,44.9,748.2,33.8,4,Mixed,90.84,After sowing
Soybean,Tamil Nadu,Sandy,6.4,84.4,26.1,109.3,0.83,15.0,1132.0,32.7,12,Urea,150.48,Before sowing
Sugarcane,Gujarat,Sandy,7.4,93.4,23.6,84.7,1.59,42.9,744.4,21.8,15,Urea,143.28,After sowing
Tomato,Tamil Nadu,Sandy,6.8,107.9,31.2,123.5,1.58,18.3,428.5,34.9,4,Compost,116.68,Mid growth
Millet,Karnataka,Silty,6.1,84.3,25.7,82.7,1.09,39.1,673.0,26.7,7,Urea,150.56,After sowing
Sugarcane,Andhra Pradesh,Clay,7.2,120.7,45.8,140.6,0.51,38.3,768.6,34.8,14,Mixed,106.44,Pre-harvest
Groundnut,Gujarat,Silty,6.7,159.0,42.6,97.4,1.31,44.8,1086.0,21.5,11,Potash,75.8,After sowing
Groundnut,Gujarat,Peaty,7.3,107.6,20.2,108.2,0.85,39.6,669.9,32.4,16,DAP,131.92,Pre-harvest
Maize,Gujarat,Silty,5.5,104.6,27.2,96.3,0.6,20.6,844.4,24.4,13,DAP,134.32,After sowing
Cotton,Karnataka,Silty,6.5,110.1,46.3,143.4,1.24,24.9,485.4,34.3,13,Mixed,114.92,After sowing
Cotton,Andhra Pradesh,Clay,5.7,103.8,28.9,102.4,0.75,38.5,498.0,29.5,14,DAP,134.96,Mid growth
Groundnut,Gujarat,Peaty,5.8,85.6,47.3,93.3,1.73,31.3,462.3,34.3,12,Urea,149.52,Before sowing
Groundnut,Tamil Nadu,Clay,6.1,148.8,25.1,139.8,0.52,30.4,1015.6,34.0,16,DAP,98.96,Mid growth
Tomato,Kerala,Clay,7.8,145.6,46.6,93.9,0.93,23.7,701.6,25.9,15,Potash,86.52,Before sowing
Soybean,Karnataka,Clay,6.9,92.8,40.7,91.7,0.97,30.1,1037.2,31.1,10,Urea,143.76,After sowing
Cotton,Tamil Nadu,Peaty,7.1,92.5,36.4,86.1,1.07,27.4,431.8,24.1,15,Urea,144.0,After sowing
Maize,Madhya Pradesh,Loamy,7.9,156.3,30.6,83.0,0.77,26.8,1158.2,22.1,14,Potash,77.96,Mid growth
Maize,Madhya Pradesh,Loamy,7.4,88.7,49.4,106.7,1.66,25.3,902.1,22.9,14,Urea,147.04,Mid growth
Potato,Andhra Pradesh,Loamy,5.9,155.0,47.5,142.1,1.44,39.2,455.2,25.0,9,Mixed,79.0,Pre-harvest
Rice,Kerala,Loamy,6.3,130.9,30.7,90.4,1.39,39.4,705.7,22.0,4,Potash,98.28,Pre-harvest
Rice,Karnataka,Sandy,6.0,99.0,29.0,125.0,1.4,35.9,690.0,32.4,4,Urea,138.8,Pre-harvest
Cotton,Andhra Pradesh,Silty,6.0,117.5,44.0,92.6,0.66,41.5,674.3,30.3,6,Potash,109.0,Mid growth
Tomato,Tamil Nadu,Sandy,5.6,135.2,29.5,83.9,1.41,22.2,709.4,21.2,10,DAP,109.84,Before sowing
Groundnut,Madhya Pradesh,Silty,5.9,103.8,22.7,143.8,0.51,29.5,498.6,24.6,15,DAP,134.96,Mid growth
Sugarcane,Gujarat,Loamy,7.8,92.9,49.0,94.4,1.61,31.4,1107.6,28.3,7,Urea,143.68,After sowing
Soybean,Telangana,Peaty,6.8,95.6,25.0,144.2,0.99,26.2,1007.9,25.1,15,Urea,141.52,Pre-harvest
Tomato,Telangana,Silty,7.9,139.0,37.9,141.7,0.57,22.7,772.0,23.4,11,Mixed,91.8,Pre-harvest
Maize,Telangana,Clay,7.4,153.5,32.7,103.9,1.94,28.3,791.2,25.3,9,Compost,80.2,Pre-harvest
Rice,Madhya Pradesh,Peaty,7.8,125.5,42.9,136.8,1.01,28.0,1078.8,25.4,13,Mixed,102.6,After sowing
Tomato,Telangana,Sandy,7.5,155.3,38.7,131.9,1.71,40.4,716.0,20.8,14,Compost,78.76,After sowing
Cotton,Kerala,Loamy,6.5,133.9,33.5,132.4,1.04,34.0,549.1,31.2,13,Mixed,95.88,Mid growth
Tomato,Maharashtra,Sandy,6.9,96.3,28.8,132.4,1.22,21.5,1173.8,30.7,16,Urea,140.96,After sowing
Millet,Madhya Pradesh,Sandy,7.9,114.2,34.3,142.9,1.29,36.2,601.7,26.7,15,Mixed,111.64,After sowing
Potato,Madhya Pradesh,Silty,5.8,96.5,20.0,82.7,1.97,22.3,930.6,32.6,5,Urea,140.8,After sowing
Millet,Tamil Nadu,Sandy,6.9,92.3,41.8,122.0,1.6,38.1,1180.3,28.6,8,Urea,144.16,Mid growth
Maize,Tamil Nadu,Sandy,6.4,131.9,22.1,142.8,0.68,24.8,1052.6,29.0,9,DAP,112.48,Mid growth
Sugarcane,Karnataka,Clay,6.5,117.9,45.6,103.8,1.8,17.6,1021.4,32.7,5,Compost,108.68,Mid growth
Soybean,Karnataka,Peaty,6.0,114.4,25.0,129.5,1.3,34.1,557.2,23.2,6,DAP,126.48,Mid growth
Soybean,Gujarat,Sandy,5.6,105.8,36.8,140.1,1.5,28.1,1162.5,30.8,9,Mixed,118.36,Before sowing
Soybean,Andhra Pradesh,Clay,7.8,122.2,27.8,83.7,1.59,18.6,642.2,28.0,9,DAP,120.24,Before sowing
Wheat,Karnataka,Peaty,6.9,128.0,25.0,106.6,1.43,44.1,982.1,33.8,10,DAP,115.6,Pre-harvest
Sugarcane,Tamil Nadu,Loamy,7.4,127.3,25.8,126.7,1.44,33.1,791.8,27.9,11,DAP,116.16,After sowing
Sugarcane,Andhra Pradesh,Silty,6.3,121.5,25.9,136.4,0.78,17.5,749.0,29.9,11,DAP,120.8,Before sowing
Wheat,Tamil Nadu,Peaty,6.6,102.1,36.7,104.3,1.9,42.7,801.9,24.9,11,Compost,121.32,Pre-harvest
Wheat,Madhya Pradesh,Peaty,7.3,82.9,34.2,103.5,1.88,15.4,842.3,31.1,12,Urea,151.68,Pre-harvest
Rice,Telangana,Silty,6.7,86.8,49.2,116.3,1.42,22.1,786.8,26.4,7,Urea,148.56,After sowing
Tomato,Tamil Nadu,Silty,5.7,88.5,45.1,96.8,0.79,30.1,1015.0,20.9,6,Urea,147.2,Mid growth
Maize,Kerala,Peaty,6.9,89.5,21.1,83.7,1.75,18.5,436.1,26.6,13,Urea,146.4,Mid growth
Potato,Gujarat,Peaty,7.6,101.0,32.7,82.8,1.17,32.3,856.7,25.0,14,Potash,122.2,Before sowing
Maize,Madhya Pradesh,Peaty,6.3,88.5,31.0,87.0,1.65,44.0,1176.1,33.0,15,Urea,147.2,Before sowing
Sugarcane,Telangana,Loamy,7.0,136.1,28.6,124.2,1.18,29.5,1006.2,24.2,12,DAP,109.12,Pre-harvest
Sugarcane,Madhya Pradesh,Silty,6.3,154.0,21.7,114.0,1.87,33.3,837.1,23.7,13,DAP,94.8,Mid growth
Millet,Tamil Nadu,Peaty,6.4,148.2,36.8,116.0,0.65,15.5,1170.9,25.7,7,Mixed,84.44,Before sowing
Millet,Andhra Pradesh,Sandy,7.0,86.4,40.5,145.3,1.36,18.8,865.4,31.5,6,Urea,148.88,Mid growth
Groundnut,Gujarat,Clay,6.5,150.4,39.5,142.9,1.44,18.9,647.8,23.0,11,Mixed,82.68,After sowing
Sugarcane,Karnataka,Clay,7.8,140.8,40.3,101.1,0.78,37.7,779.3,23.4,9,Mixed,90.36,Mid growth
Maize,Maharashtra,Sandy,7.0,83.2,29.8,112.8,0.72,44.5,567.3,22.0,9,Urea,151.44,Pre-harvest
Groundnut,Andhra Pradesh,Peaty,6.0,141.5,32.8,119.6,0.53,16.0,756.7,32.2,15,Mixed,89.8,Before sowing
Soybean,Madhya Pradesh,Silty,7.7,86.9,36.2,143.9,1.08,39.9,507.0,34.0,4,Urea,148.48,Pre-harvest
Tomato,Telangana,Loamy,7.4,155.3,40.3,105.4,1.91,23.3,665.7,30.5,8,Compost,78.76,Pre-harvest
Sugarcane,Kerala,Peaty,7.4,154.4,26.1,135.9,1.61,16.9,709.8,24.2,5,DAP,94.48,After sowing
Sugarcane,Madhya Pradesh,Silty,6.3,158.6,39.3,130.2,1.96,26.3,1041.5,26.5,15,Compost,76.12,Pre-harvest
Tomato,Karnataka,Clay,7.7,94.5,48.4,95.3,0.99,37.7,715.0,29.1,11,Urea,142.4,Mid growth
Potato,Tamil Nadu,Peaty,6.6,139.4,26.8,84.1,0.95,29.2,534.4,25.3,13,DAP,106.48,Pre-harvest
Cotton,Andhra Pradesh,Peaty,6.5,84.6,37.5,141.9,0.73,32.9,931.8,26.3,13,Urea,150.32,After sowing
Soybean,Tamil Nadu,Loamy,7.3,112.9,35.1,80.5,1.54,34.8,430.7,25.5,15,Potash,112.68,After sowing
Cotton,Karnataka,Silty,7.9,113.7,35.1,143.7,1.58,32.5,1038.2,33.0,15,Compost,112.04,Before sowing
Soybean,Madhya Pradesh,Sandy,6.6,118.0,31.6,147.7,1.55,17.5,1090.4,27.2,15,Compost,108.6,Pre-harvest
Maize,Maharashtra,Peaty,5.7,124.0,32.5,141.4,0.81,39.8,846.2,20.8,10,Mixed,103.8,After sowing
Rice,Andhra Pradesh,Sandy,7.9,121.0,28.7,112.9,1.79,24.1,554.1,21.9,10,DAP,121.2,After sowing
Rice,Gujarat,Sandy,6.2,142.4,34.1,95.9,0.75,25.0,1151.9,25.1,6,Potash,89.08,Mid growth
Wheat,Andhra Pradesh,Loamy,8.0,118.8,25.4,142.4,1.19,36.3,1187.0,20.8,16,DAP,122.96,After sowing
Sugarcane,Tamil Nadu,Silty,5.7,137.6,28.5,92.9,0.56,15.7,1019.6,22.0,16,DAP,107.92,Mid growth
Sugarcane,Kerala,Sandy,6.7,128.5,32.9,81.9,1.68,15.3,1009.5,33.4,11,Potash,100.2,Before sowing
Tomato,Maharashtra,Loamy,6.6,122.8,34.3,107.2,1.83,41.8,668.7,29.2,11,Compost,104.76,After sowing
Soybean,Maharashtra,Loamy,7.8,157.0,35.3,111.7,0.92,43.8,514.3,28.7,13,Mixed,77.4,After sowing
Rice,Maharashtra,Loamy,6.2,102.3,32.1,149.9,0.58,32.4,466.1,22.3,8,Mixed,121.16,Before sowing
Rice,Andhra Pradesh,Peaty,6.6,120.8,27.8,102.2,0.63,24.1,1173.2,34.2,8,DAP,121.36,After sowing
Sugarcane,Andhra Pradesh,Clay,6.3,125.7,47.3,80.4,1.72,43.5,473.1,22.4,11,Potash,102.44,Pre-harvest
Rice,Telangana,Silty,7.9,123.0,20.4,98.0,1.17,35.8,986.5,34.9,8,DAP,119.6,Pre-harvest
Tomato,Andhra Pradesh,Peaty,6.2,123.1,36.0,108.4,0.75,44.3,1082.7,27.5,11,Mixed,104.52,Before sowing
Rice,Andhra Pradesh,Peaty,7.0,98.2,36.3,128.6,1.27,44.7,889.1,25.6,11,Urea,139.44,Mid growth
Millet,Tamil Nadu,Sandy,7.4,93.6,31.5,104.3,1.15,38.5,787.3,31.9,9,Urea,143.12,Before sowing
Sugarcane,Maharashtra,Sandy,6.9,107.4,44.3,96.7,0.84,30.1,608.7,20.1,14,Potash,117.08,Before sowing
Groundnut,Tamil Nadu,Clay,7.1,120.9,33.4,147.7,1.36,40.9,511.6,28.5,9,Mixed,106.28,Before sowing
Sugarcane,Telangana,Silty,7.7,126.6,41.5,106.0,0.64,28.7,715.6,33.0,8,Mixed,101.72,Pre-harvest
Tomato,Madhya Pradesh,Silty,6.1,157.3,48.7,97.3,1.02,41.9,1173.3,26.7,4,Potash,77.16,Pre-harvest
Maize,Maharashtra,Peaty,6.3,122.1,40.6,99.1,1.6,16.5,439.4,25.8,15,Potash,105.32,Pre-harvest
Groundnut,Kerala,Clay,6.4,105.3,34.7,102.5,0.79,24.3,1179.9,26.2,12,Mixed,118.76,Pre-harvest
Sugarcane,Tamil Nadu,Sandy,6.6,126.1,49.5,96.9,1.52,36.5,885.9,21.3,10,Potash,102.12,Pre-harvest
Tomato,Karnataka,Clay,7.2,85.1,37.9,131.8,0.82,40.2,424.3,32.7,5,Urea,149.92,Before sowing
Sugarcane,Andhra Pradesh,Silty,6.7,97.4,24.0,146.7,0.61,21.0,678.3,29.3,14,Urea,140.08,After sowing
Rice,Karnataka,Peaty,6.9,90.1,28.7,96.7,0.82,27.3,963.2,23.3,4,Urea,145.92,After sowing
Tomato,Andhra Pradesh,Clay,6.4,111.3,49.3,146.8,1.7,22.2,454.4,24.8,12,Compost,113.96,Mid growth
Cotton,Gujarat,Sandy,6.2,120.5,43.3,140.1,1.77,25.8,949.8,24.7,8,Compost,106.6,After sowing
Cotton,Kerala,Clay,5.7,136.1,20.3,108.6,0.99,35.8,1013.0,24.6,14,DAP,109.12,After sowing
Potato,Telangana,Silty,7.5,103.5,33.4,130.9,1.54,44.6,580.1,29.9,4,Compost,120.2,After sowing
Rice,Kerala,Peaty,7.0,153.2,24.7,132.6,1.35,23.2,779.5,25.0,9,DAP,95.44,Pre-harvest
Soybean,Maharashtra,Loamy,6.9,151.1,37.1,124.2,1.28,16.5,586.3,27.4,5,Mixed,82.12,Mid growth
Sugarcane,Maharashtra,Clay,6.3,94.5,35.1,102.6,0.89,28.9,506.6,33.9,9,Urea,142.4,After sowing
Cotton,Gujarat,Peaty,7.7,136.6,23.2,134.3,1.71,38.0,491.2,29.7,10,DAP,108.72,Before sowing
Soybean,Gujarat,Peaty,7.6,126.2,39.4,112.1,1.29,16.0,911.2,21.2,6,Mixed,102.04,Pre-harvest
Millet,Gujarat,Loamy,6.6,103.4,36.4,89.3,1.54,38.9,530.7,21.6,12,Potash,120.28,Pre-harvest
Soybean,Andhra Pradesh,Sandy,5.9,150.2,35.8,112.7,0.66,34.5,1094.4,32.4,6,Mixed,82.84,Mid growth
Maize,Tamil Nadu,Clay,7.1,86.0,23.4,83.5,0.89,19.1,608.0,25.8,15,Urea,149.2,Pre-harvest
Potato,Gujarat,Peaty,7.9,128.8,45.0,129.7,0.67,37.1,620.1,29.6,4,Mixed,99.96,Mid growth
Millet,Kerala,Loamy,6.4,159.8,27.9,99.5,1.9,15.7,957.4,30.9,8,DAP,90.16,Mid growth
Potato,Madhya Pradesh,Sandy,7.6,158.0,49.3,84.6,1.73,34.4,917.9,21.9,4,Potash,76.6,Before sowing
Soybean,Madhya Pradesh,Clay,7.1,158.6,47.4,110.7,0.56,25.9,1061.1,30.5,7,Mixed,76.12,Pre-harvest
Potato,Andhra Pradesh,Clay,6.6,84.4,32.8,112.8,1.89,34.2,649.3,27.9,8,Urea,150.48,Pre-harvest
Millet,Andhra Pradesh,Clay,5.7,157.8,30.8,113.5,1.03,35.5,929.8,30.7,5,Mixed,76.76,Mid growth
Sugarcane,Telangana,Peaty,6.2,105.3,23.8,125.9,0.56,32.9,1095.8,33.4,5,DAP,133.76,After sowing
Maize,Madhya Pradesh,Sandy,6.6,116.7,22.3,127.0,1.73,22.3,737.0,32.6,15,DAP,124.64,After sowing
Soybean,Maharashtra,Sandy,7.7,99.5,36.5,93.5,0.65,42.3,1056.4,31.4,8,Urea,138.4,Pre-harvest
Rice,Maharashtra,Loamy,5.6,147.5,33.1,104.0,1.32,17.7,1005.3,28.7,16,Mixed,85.0,After sowing
Soybean,Telangana,Clay,6.0,95.1,25.5,84.0,1.38,40.2,414.0,20.7,12,Urea,141.92,Before sowing
Millet,Tamil Nadu,Clay,6.9,145.6,29.8,104.5,1.39,23.2,421.3,31.0,10,DAP,101.52,Pre-harvest
Wheat,Madhya Pradesh,Peaty,7.1,126.5,42.3,127.3,0.81,25.6,500.9,21.9,15,Mixed,101.8,After sowing
Maize,Gujarat,Silty,7.2,148.7,48.9,124.0,0.78,18.2,1050.3,28.7,16,Mixed,84.04,Pre-harvest
Maize,Madhya Pradesh,Loamy,7.0,142.5,41.1,138.4,0.58,37.4,1080.7,24.3,5,Mixed,89.0,After sowing
Maize,Tamil Nadu,Clay,7.1,105.1,48.7,82.3,1.37,20.0,969.8,22.6,5,Potash,118.92,Pre-harvest
Wheat,Karnataka,Silty,6.1,119.5,47.4,94.8,0.72,37.8,800.5,33.7,9,Potash,107.4,Pre-harvest
Groundnut,Andhra Pradesh,Loamy,5.9,131.7,27.0,91.0,1.53,32.8,1003.9,24.6,5,DAP,112.64,After sowing
Soybean,Karnataka,Loamy,6.6,112.4,49.5,100.5,0.94,25.6,851.7,23.8,13,Mixed,113.08,After sowing
Cotton,Madhya Pradesh,Loamy,7.8,101.3,46.9,87.2,1.48,42.2,535.0,34.5,5,Potash,121.96,Mid growth
Millet,Telangana,Loamy,6.6,155.7,40.3,101.1,0.78,24.1,474.4,22.2,8,Mixed,78.44,After sowing
Groundnut,Gujarat,Silty,5.8,113.8,43.9,89.9,0.7,34.3,557.7,21.5,12,Potash,111.96,Pre-harvest
Maize,Karnataka,Loamy,5.9,153.9,44.6,104.8,1.48,31.1,941.7,30.2,14,Mixed,79.88,After sowing
